TIME,TIME_LABEL,GEO,GEO_LABEL,SEX,AGE,UNIT,Value,Flag and Footnotes
1996,1996,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2244628,
1995,1995,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2244848,
2016,2016,DEE,Sachsen-Anhalt,Total,Total,Number,2245470,
2016,2016,DEE0,Sachsen-Anhalt,Total,Total,Number,2245470,
2013,2013,UKE4,West Yorkshire,Total,Total,Number,2245499,
2011,2011,PL63,Pomorskie,Total,Total,Number,2245568,
2010,2010,RO41,Sud-Vest Oltenia,Total,Total,Number,2246033,
2011,2011,TR52,"Konya, Karaman",Total,Total,Number,2246478,
2014,2014,UKI4,Inner London - East,Total,Total,Number,2248524,
2006,2006,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",Total,Total,Number,2248953,
1997,1997,FRJ1,Languedoc-Roussillon,Total,Total,Number,2249187,
1997,1997,FR81,Languedoc-Roussillon (NUTS 2013),Total,Total,Number,2249187,
2005,2005,LV,Latvia,Total,Total,Number,2249724,
2005,2005,LV0,Latvija,Total,Total,Number,2249724,
2005,2005,LV00,Latvija,Total,Total,Number,2249724,
2010,2010,DEG,Thüringen,Total,Total,Number,2249882,
2010,2010,DEG0,Thüringen,Total,Total,Number,2249882,
2012,2012,PL63,Pomorskie,Total,Total,Number,2253048,
2009,2009,RO32,Bucuresti - Ilfov,Total,Total,Number,2253093,
2018,2018,DE13,Freiburg,Total,Total,Number,2254674,
2014,2014,UKE4,West Yorkshire,Total,Total,Number,2256217,
2016,2016,PT16,Centro (PT),Total,Total,Number,2256364,e
2005,2005,UKH1,East Anglia,Total,Total,Number,2257246,
2009,2009,RO41,Sud-Vest Oltenia,Total,Total,Number,2257752,
2013,2013,DEE,Sachsen-Anhalt,Total,Total,Number,2259393,
2013,2013,DEE0,Sachsen-Anhalt,Total,Total,Number,2259393,
2013,2013,PL63,Pomorskie,Total,Total,Number,2259485,
1994,1994,NL41,Noord-Brabant,Total,Total,Number,2259779,
2008,2008,TRC1,"Gaziantep, Adiyaman, Kilis",Total,Total,Number,2261242,
2010,2010,RO32,Bucuresti - Ilfov,Total,Total,Number,2261698,
1993,1993,DE94,Weser-Ems,Total,Total,Number,2263184,
2015,2015,PT16,Centro (PT),Total,Total,Number,2263992,e
2014,2014,PL63,Pomorskie,Total,Total,Number,2264817,
2011,2011,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Total,Total,Number,2264895,
2011,2011,RO32,Bucuresti - Ilfov,Total,Total,Number,2267419,
2009,2009,DEG,Thüringen,Total,Total,Number,2267763,
2009,2009,DEG0,Thüringen,Total,Total,Number,2267763,
2017,2017,SE11,Stockholm,Total,Total,Number,2269060,
2015,2015,UKE4,West Yorkshire,Total,Total,Number,2269744,
2007,2007,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",Total,Total,Number,2269956,
2008,2008,RO41,Sud-Vest Oltenia,Total,Total,Number,2270776,
2015,2015,PL63,Pomorskie,Total,Total,Number,2271559,
1993,1993,PT16,Centro (PT),Total,Total,Number,2272444,
2012,2012,TR52,"Konya, Karaman",Total,Total,Number,2272560,
2001,2001,RO32,Bucuresti - Ilfov,Total,Total,Number,2272972,
1998,1998,FRJ1,Languedoc-Roussillon,Total,Total,Number,2273724,
1998,1998,FR81,Languedoc-Roussillon (NUTS 2013),Total,Total,Number,2273724,
1992,1992,PT16,Centro (PT),Total,Total,Number,2274230,
1994,1994,PT16,Centro (PT),Total,Total,Number,2275572,
1995,1995,NL41,Noord-Brabant,Total,Total,Number,2276207,
2004,2004,LV,Latvia,Total,Total,Number,2276520,
2004,2004,LV0,Latvija,Total,Total,Number,2276520,
2004,2004,LV00,Latvija,Total,Total,Number,2276520,
2015,2015,IE06,Eastern and Midland,Total,Total,Number,2276591,
2012,2012,DEE,Sachsen-Anhalt,Total,Total,Number,2276736,
2012,2012,DEE0,Sachsen-Anhalt,Total,Total,Number,2276736,
2016,2016,PL63,Pomorskie,Total,Total,Number,2277059,
2012,2012,RO32,Bucuresti - Ilfov,Total,Total,Number,2279145,b
2004,2004,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2280652,
2014,2014,PT16,Centro (PT),Total,Total,Number,2281164,
2006,2006,UKH1,East Anglia,Total,Total,Number,2281263,
2013,2013,RO32,Bucuresti - Ilfov,Total,Total,Number,2282244,
2005,2005,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2282364,
1995,1995,PT16,Centro (PT),Total,Total,Number,2282411,
