Year,RegionCode,RegionName,GDPPerHead,GDPTotal,NUTSLevel,IncomePerHead,IncomeTotal,Population,CountryOrOtherGrouping
2007,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2008,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,55400,58086401400,2,20213,21193400000,1048491,BE
2008,BE21,Prov. Antwerpen,35500,60907598500,2,22996,39454310000,1715707,BE
2008,BE22,Prov. Limburg (BE),24900,20584581000,2,20739,17144400000.000002,826690,BE
2008,BE23,Prov. Oost-Vlaanderen,26600,37465674400,2,23759,33464030000,1408484,BE
2008,BE24,Prov. Vlaams-Brabant,31200,33079238400,2,27393,29042990000,1060232,BE
2008,BE25,Prov. West-Vlaanderen,28200,32443733400,2,21899,25194620000,1150487,BE
2008,BE31,Prov. Brabant wallon,32800,12250537600,2,25228,9422430000,373492,BE
2008,BE32,Prov. Hainaut,19900,25871930300,2,16847,21902190000,1300097,BE
2008,BE33,Prov. Liège,22100,23287256200,2,18192,19169130000,1053722,BE
2008,BE34,Prov. Luxembourg (BE),20000,5281680000,2,19814,5232600000,264084,BE
2008,BE35,Prov. Namur,21100,9819518000,2,19563,9104350000,465380,BE
2008,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2009,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,54600,58341847200,2,19174,20488390000,1068532,BE
2009,BE21,Prov. Antwerpen,33500,57994329000,2,21894,37901510000,1731174,BE
2009,BE22,Prov. Limburg (BE),22800,18996048000,2,19639,16362380000,833160,BE
2009,BE23,Prov. Oost-Vlaanderen,25900,36788748500,2,22718,32268540000,1420415,BE
2009,BE24,Prov. Vlaams-Brabant,30900,33027094200,2,26183,27985080000,1068838,BE
2009,BE25,Prov. West-Vlaanderen,27000,31192830000,2,20808,24039180000,1155290,BE
2009,BE31,Prov. Brabant wallon,30700,11532301500,2,24239,9105440000,375645,BE
2009,BE32,Prov. Hainaut,18300,23871178800,2,15994,20863380000,1304436,BE
2009,BE33,Prov. Liège,21000,22260735000,2,17403,18447450000,1060035,BE
2009,BE34,Prov. Luxembourg (BE),18900,5045355000,2,18703,4992840000,266950,BE
2009,BE35,Prov. Namur,20100,9418960500,2,18784,8802140000,468605,BE
2009,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2010,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,57200,62321573600,2,19491,21236440000,1089538,BE
2010,BE21,Prov. Antwerpen,35500,61942601000,2,22495,39250920000,1744862,BE
2010,BE22,Prov. Limburg (BE),24400,20459522000,2,20169,16911419999.999998,838505,BE
2010,BE23,Prov. Oost-Vlaanderen,27400,39245732400,2,23284,33350300000.000004,1432326,BE
2010,BE24,Prov. Vlaams-Brabant,32200,34676952800,2,26705,28759170000,1076924,BE
2010,BE25,Prov. West-Vlaanderen,28800,33389740800,2,21440,24856240000,1159366,BE
2010,BE31,Prov. Brabant wallon,35000,13283025000,2,24753,9394000000,379515,BE
2010,BE32,Prov. Hainaut,19600,25673648000,2,16369,21441490000,1309880,BE
2010,BE33,Prov. Liège,22100,23595838500,2,17700,18898400000,1067685,BE
2010,BE34,Prov. Luxembourg (BE),19900,5353557700,2,19219,5170220000,269023,BE
2010,BE35,Prov. Namur,21500,10154041500,2,19263,9097680000,472281,BE
2010,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2011,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,57000,64796346000,2,19381,22032340000,1136778,BE
2011,BE21,Prov. Antwerpen,36200,64192265400,2,22822,40469220000,1773267,BE
2011,BE22,Prov. Limburg (BE),25200,21340645200,2,20774,17592400000,846851,BE
